"2013-11-07","5648573"
"2013-11-08","6242165"
"2013-11-09","8821606"
"2013-11-10","9009474"
"2013-11-11","6342593"
"2013-11-12","5410878"
"2013-11-13","5417130"
"2013-11-14","5422721"
"2013-11-15","6282791"
"2013-11-16","8970829"
"2013-11-17","9654946"
"2013-11-18","6553714"
"2013-11-19","6329377"
"2013-11-20","6250061"
"2013-11-21","5947373"
"2013-11-22","6569721"
"2013-11-23","9153628"
"2013-11-24","9681834"
"2013-11-25","6640999"
"2013-11-26","6674199"
"2013-11-27","7711897"
"2013-11-28","8903540"
"2013-11-29","9707608"
"2013-11-30","11221886"
"2013-12-01","10952816"
"2013-12-02","7407443"
"2013-12-03","7230454"
"2013-12-04","7133941"
"2013-12-05","6803196"
"2013-12-06","7154034"
"2013-12-07","9480230"
"2013-12-08","10032789"
"2013-12-09","6802512"
"2013-12-10","6623764"
"2013-12-11","6253120"
"2013-12-12","6788670"
"2013-12-13","8904186"
"2013-12-14","12406720"
"2013-12-15","12184918"
"2013-12-16","8113702"
"2013-12-17","7538094"
"2013-12-18","7033176"
"2013-12-19","6792259"
"2013-12-20","7212396"
"2013-12-21","8583669"
"2013-12-22","9042201"
"2013-12-23","8167834"
"2013-12-24","7921353"
"2013-12-25","6076504"
"2013-12-26","6263989"
"2013-12-27","6978668"
"2013-12-28","7460073"
"2013-12-29","7642080"
"2013-12-30","5291270"
"2013-12-31","8727154"
"2014-01-01","9005349"
"2014-01-02","8140891"
"2014-01-03","8428589"
"2014-01-04","8981980"
"2014-01-05","9632181"
"2014-01-06","7562393"
"2014-01-07","6972741"
"2014-01-08","6596489"
"2014-01-09","6325719"
"2014-01-10","6908936"
"2014-01-11","9468642"
"2014-01-12","9877749"
"2014-01-13","6719207"
"2014-01-14","6590802"
"2014-01-15","6578079"
"2014-01-16","6585604"
"2014-01-17","7178208"
"2014-01-18","9775421"
"2014-01-19","10295286"
"2014-01-20","8183827"
"2014-01-21","4181934"
"2014-01-22","6877977"
"2014-01-23","6889790"
"2014-01-24","9618996"
"2014-01-25","10649395"
"2014-01-26","10790620"
"2014-01-27","7738107"
"2014-01-28","7782205"
"2014-01-29","7635780"
"2014-01-30","7293679"
"2014-01-31","7803457"
"2014-02-01","9470252"
"2014-02-02","10088225"
"2014-02-03","7540007"
"2014-02-04","7256432"
"2014-02-05","7704899"
"2014-02-06","7275293"
"2014-02-07","7802902"
"2014-02-08","10325981"
"2014-02-09","10320692"
"2014-02-10","7062985"
"2014-02-11","6976786"
"2014-02-12","7054832"
"2014-02-13","7218128"
"2014-02-14","7853247"
"2014-02-15","10307890"
"2014-02-16","10585226"
"2014-02-17","8282189"
"2014-02-18","7455894"
"2014-02-19","7345424"
"2014-02-20","7388497"
"2014-02-21","9005312"
"2014-02-22","12121572"
"2014-02-23","12106797"
"2014-02-24","8411332"
"2014-02-25","8084381"
"2014-02-26","8204283"
"2014-02-27","8213425"
"2014-02-28","8850170"
"2014-03-01","11364328"
"2014-03-02","11680017"
"2014-03-03","8439142"
"2014-03-04","8244709"
"2014-03-05","8117566"
"2014-03-06","8029451"
"2014-03-07","8612358"
"2014-03-08","11149164"
"2014-03-09","10934828"
"2014-03-10","7781489"
"2014-03-11","7218218"
"2014-03-12","7460030"
"2014-03-13","7347890"
"2014-03-14","8049047"
"2014-03-15","10412759"
"2014-03-16","9871082"
"2014-03-17","6862101"
"2014-03-18","6454794"
"2014-03-19","6308848"
"2014-03-20","6088573"
"2014-03-21","6722805"
"2014-03-22","8796643"
"2014-03-23","8464972"
"2014-03-24","6136649"
"2014-03-25","5940064"
"2014-03-26","5996751"
"2014-03-27","5778366"
"2014-03-28","6101220"
"2014-03-29","7741770"
"2014-03-30","7165239"
"2014-03-31","4990482"
"2014-04-01","4725118"
"2014-04-02","5178247"
"2014-04-03","5260103"
"2014-04-04","5911537"
"2014-04-05","7680832"
"2014-04-06","7551267"
"2014-04-07","5991455"
"2014-04-08","6137151"
"2014-04-09","6035464"
"2014-04-10","5960849"
"2014-04-11","6813142"
"2014-04-12","9034497"
"2014-04-13","8441647"
"2014-04-14","6352687"
"2014-04-15","6288765"
"2014-04-16","6301472"
"2014-04-17","6364910"
"2014-04-18","7400468"
"2014-04-19","7733690"
"2014-04-20","6908035"
"2014-04-21","6101890"
"2014-04-22","5647371"
"2014-04-23","5542814"
"2014-04-24","5461970"
"2014-04-25","6304012"
"2014-04-26","8097324"
"2014-04-27","7708487"
"2014-04-28","5302931"
"2014-04-29","5258830"
"2014-04-30","5448281"
"2014-05-01","6091395"
"2014-05-02","6299883"
"2014-05-03","7667847"
"2014-05-04","7312064"
"2014-05-05","5406450"
"2014-05-06","5152215"
"2014-05-07","5052420"
"2014-05-08","5108507"
"2014-05-09","5756059"
"2014-05-10","7613240"
"2014-05-11","7253721"
"2014-05-12","4905058"
"2014-05-13","4936259"
"2014-05-14","4909892"
"2014-05-15","4981338"
"2014-05-16","5714313"
"2014-05-17","7589426"
"2014-05-18","7065831"
"2014-05-19","5048602"
"2014-05-20","4942829"
"2014-05-21","5075828"
"2014-05-22","5027261"
"2014-05-23","5756922"
"2014-05-24","7407629"
"2014-05-25","6821501"
"2014-05-26","5602801"
"2014-05-27","5149125"
"2014-05-28","5321708"
"2014-05-29","5438692"
"2014-05-30","5917190"
"2014-05-31","7186715"
"2014-06-01","6875677"
"2014-06-02","5381266"
"2014-06-03","5185387"
"2014-06-04","5347839"
"2014-06-05","5210502"
"2014-06-06","5785514"
"2014-06-07","7073572"
"2014-06-08","6787427"
"2014-06-09","5315401"
"2014-06-10","4987786"
"2014-06-11","4988665"
"2014-06-12","5182615"
"2014-06-13","6415547"
"2014-06-14","8067680"
"2014-06-15","8080315"
"2014-06-16","6694664"
"2014-06-17","6680625"
"2014-06-18","6963653"
"2014-06-19","6877136"
"2014-06-20","7156547"
"2014-06-21","8224263"
"2014-06-22","7570411"
"2014-06-23","6140005"
"2014-06-24","6037089"
"2014-06-25","5991127"
"2014-06-26","5929551"
"2014-06-27","6819336"
"2014-06-28","8290676"
"2014-06-29","8217428"
"2014-06-30","6804268"
"2014-07-01","6612502"
"2014-07-02","6493199"
"2014-07-03","6380176"
"2014-07-04","8791843"
"2014-07-05","9910250"
"2014-07-06","9562410"
"2014-07-07","8226525"
"2014-07-08","8165991"
"2014-07-09","7893963"
"2014-07-10","7635611"
"2014-07-11","8062024"
"2014-07-12","8752118"
"2014-07-13","8730592"
"2014-07-14","7339631"
"2014-07-15","7117600"
"2014-07-16","7078869"
"2014-07-17","7110577"
"2014-07-18","8129521"
"2014-07-19","9171007"
"2014-07-20","8749516"
"2014-07-21","7836140"
"2014-07-22","7539874"
"2014-07-23","7683243"
"2014-07-24","7568448"
"2014-07-25","8115077"
"2014-07-26","8730932"
"2014-07-27","8469518"
"2014-07-28","7564332"
"2014-07-29","7306305"
"2014-07-30","7125886"
"2014-07-31","8059746"
"2014-08-01","6838333"
"2014-08-02","7727993"
"2014-08-03","7483356"
"2014-08-04","7319886"
"2014-08-05","7564391"
"2014-08-06","7497465"
"2014-08-07","7323256"
"2014-08-08","7918186"
"2014-08-09","8542019"
